University Name,City,Country,Programs,Fee (USD),Scholarship
Global South Korea Institute of Technology,Busan,South Korea,Data Science;Agriculture;Pharmacy;Biotechnology;AI,14749,No
National Japan Institute of Technology,Kyoto,Japan,AI;Biotechnology;Tourism,5968,Yes
National South Korea University,Seoul,South Korea,Computer Science;AI;Business,43143,No
Central Pakistan Institute of Technology,Lahore,Pakistan,Business;Education;Agriculture,27343,No
National France University,Lyon,France,AI;Medicine;Computer Science;Architecture,12126,No
International UAE University,Dubai,UAE,Nursing;Biotechnology;IT,6331,Yes
Central Spain Institute of Technology,Barcelona,Spain,Cybersecurity;Architecture;Biotechnology;Finance,11215,Yes
Global Malaysia College,Kuala Lumpur,Malaysia,Data Science;Finance;IT;Economics;Agriculture,35230,No
Central Qatar College,Doha,Qatar,IT;Architecture;Psychology;Data Science;Biotechnology,30035,No
Global Singapore University,Singapore,Singapore,Business;Cybersecurity;Tourism;Agriculture;Economics,1079,Yes
National Italy University,Milan,Italy,AI;Education;Psychology;Medicine;Business;Law,38574,No
Global Finland Institute of Technology,Helsinki,Finland,Law;Engineering;Finance;Nursing;IT,40625,No
Central Brazil Institute of Technology,São Paulo,Brazil,Tourism;Data Science;Engineering;Economics,32382,No
Advanced South Korea Institute of Technology,Busan,South Korea,Business;Tourism;Data Science;Agriculture,12150,No
Global Australia College,Sydney,Australia,Medicine;Data Science;Psychology;AI;Finance,27946,Yes
International South Africa College,Johannesburg,South Africa,Economics;Engineering;Law;Psychology;Nursing;Architecture,41550,No
Central Sri Lanka College,Colombo,Sri Lanka,Computer Science;Pharmacy;Biotechnology,18354,Yes
Advanced France Institute of Technology,Paris,France,Law;Medicine;Tourism,38383,No
Advanced UAE College,Abu Dhabi,UAE,Agriculture;Data Science;Biotechnology;Engineering,21578,No
Central Thailand Institute of Technology,Bangkok,Thailand,Biotechnology;Finance;Business;Tourism,16204,No
Royal France Institute of Technology,Paris,France,Education;Pharmacy;Tourism;Agriculture,36314,Yes
Royal USA University,Los Angeles,USA,Pharmacy;Tourism;Cybersecurity;Business;Nursing,44204,Yes
Metropolitan Finland Academy,Helsinki,Finland,Economics;Psychology;Law,41104,Yes
Metropolitan Pakistan Institute of Technology,Karachi,Pakistan,Data Science;Pharmacy;Business,45005,Yes
Metropolitan Netherlands University,Rotterdam,Netherlands,Computer Science;IT;Psychology;Pharmacy,23964,Yes
Royal Finland Institute of Technology,Helsinki,Finland,Finance;Pharmacy;Tourism,37149,Yes
Global Norway Academy,Oslo,Norway,Biotechnology;Computer Science;Education;Economics,45199,Yes
Metropolitan Turkey Academy,Istanbul,Turkey,Education;Finance;Architecture;Medicine,26205,No
Central Finland Academy,Helsinki,Finland,Cybersecurity;Engineering;Law;Psychology;Finance;Medicine,30766,No
Royal Sweden College,Gothenburg,Sweden,IT;Economics;Data Science,27849,Yes
Global Canada College,Toronto,Canada,Tourism;Computer Science;Data Science,40643,No
Global Sri Lanka Institute of Technology,Colombo,Sri Lanka,IT;Pharmacy;Architecture;Medicine;Cybersecurity,26298,No
International Switzerland Institute of Technology,Geneva,Switzerland,Nursing;Tourism;Economics,16851,Yes
Global Malaysia Institute of Technology,Kuala Lumpur,Malaysia,Psychology;Nursing;Computer Science,26698,No
Central India Institute of Technology,Delhi,India,Psychology;Cybersecurity;Computer Science;Pharmacy;Medicine,34686,Yes
Metropolitan Japan College,Kyoto,Japan,Medicine;Education;Finance,16790,Yes
Royal Norway College,Oslo,Norway,Pharmacy;Cybersecurity;Computer Science,11311,No
National Pakistan Institute of Technology,Karachi,Pakistan,Computer Science;Finance;Biotechnology;Cybersecurity;Law;Architecture,12031,Yes
